,Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category,Clusters,Pred
130,HERSHEY'S Sundae Pie,310,160,18.0,12.0,0.0,10,230,32.0,1.0,22.0,3.0,Desserts,26,2.0
131,Soft Serve Cone,200,45,5.0,3.5,0.0,20,150,33.0,0.0,22.0,5.0,Desserts,24,0.0
132,Soft Serve Cup,180,45,5.0,3.5,0.0,20,150,28.0,0.0,22.0,4.0,Desserts,24,0.0
133,HERSHEY'S Chocolate Sundae,260,45,5.0,3.5,0.0,20,150,49.0,1.0,41.0,5.0,Desserts,24,0.0
134,OREOCookie Shake,680,180,20.0,12.0,0.5,65,470,111.0,1.0,88.0,13.0,Desserts,25,1.0
135,OREOCookie Chocolate Shake,710,180,20.0,12.0,0.5,65,480,118.0,2.0,93.0,14.0,Desserts,25,1.0
136,Vanilla Shake,600,150,16.0,11.0,0.5,65,410,98.0,0.0,81.0,13.0,Desserts,25,1.0
137,HERSHEY'S Chocolate Shake,630,150,17.0,11.0,0.5,65,420,105.0,1.0,86.0,13.0,Desserts,25,1.0
138,Chocolate Chip Cookies (each),160,70,8.0,4.0,0.0,10,110,23.0,0.5,14.0,2.0,Desserts,24,0.0
