Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category
BK Cafe Iced Mocha Coffee- 20 fl oz,300,120,13,7,0,40,70,45,2,41,3,BK Cafe
CROISSAN'WICH Egg & Cheese,330,160,18,9,1,240,660,30,0.5,4,13,Breakfast
"CROISSAN'WICH Sausage, Egg & Cheese",510,310,34,15,1,275,1030,30,0.5,4,20,Breakfast
"CROISSAN'WICH Ham, Egg & Cheese",370,170,19,9,1,255,1060,31,0.5,5,19,Breakfast
"CROISSAN'WICH Bacon, Egg & Cheese",370,190,21,10,1,250,820,30,0.5,4,16,Breakfast
Fully Loaded CROISSAN'WICH,630,370,42,18,1,310,1810,32,0.5,5,31,Breakfast
Double CROISSAN'WICH with Sausage & Bacon,590,370,41,18,1,295,1410,31,0.5,5,25,Breakfast
Double CROISSAN'WICH with Sausage,720,480,54,23,1,320,1620,31,0.5,4,29,Breakfast
DoubleCROISSAN'WICH with Ham & Sausage,580,350,38,17,1,300,1650,32,0.5,5,28,Breakfast
Fully Loaded Biscuit,640,400,45,20,0,225,2190,31,1,4,28,Breakfast
"Ham, Egg, & Cheese Biscuit",410,210,23,11,1,235,1610,33,1,3,19,Breakfast
"Sausage, Egg, & Cheese Biscuit",550,350,39,17,1,250,1580,32,1,3,20,Breakfast
"Bacon, Egg & Cheese Biscuit",410,230,26,12,1,225,1370,32,1,3,15,Breakfast
Sausage Biscuit,430,270,30,13,0,35,1150,30,1,2,11,Breakfast
Breakfast Burrito Jr.,420,240,26,9,1,235,1080,29,2,2,16,Breakfast
EGG-NORMOUS BURRITO,810,400,44,16,1.5,445,2020,69,4,4,34,Breakfast
BK Ultimate Breakfast Platter,970,430,48,12,1.5,470,2100,110,4,36,26,Breakfast
NY Ultimate Platter (Regional menu item),900,420,46,12,0,380,1760,95,5,31,25,Breakfast
Pancake and Sausage platter,620,260,29,9,0,75,1080,79,1,36,13,Breakfast
Hash Browns- small,290,170,19,3.5,0,0,840,29,2,0,2,Breakfast
Hash Browns- medium,540,310,34,7,0,0,1480,54,5,0,4,Breakfast
Hash Browns- large,740,430,48,9,0,0,2040,75,6,0.5,6,Breakfast
French Toast Sticks (3 piece) w/o Syrup,230,90,10,2,0,0,220,32,2,9,4,Breakfast
French Toast Sticks (5 piece) w/o Syrup,380,140,16,3.5,0,0,400,77,3,33,6,Breakfast
WHOPPER Sandwich,670,350,39,12,0,85,1170,54,3,13,31,Burgers
WHOPPER Sandwich with Cheese,760,420,46,16,0.5,105,1600,56,3,14,36,Burgers
Bacon & Cheese WHOPPER Sandwich,820,460,51,18,0.5,115,1850,56,3,14,40,Burgers
DOUBLE WHOPPER Sandwich,920,520,58,20,0.5,150,1240,54,3,13,52,Burgers
DOUBLE WHOPPER Sandwich with Cheese,1010,590,65,24,1,175,1670,56,3,14,56,Burgers
WHOPPER JR. Sandwich,330,170,18,5,0,35,560,30,2,7,15,Burgers
Triple WHOPPER Sandwich with Cheese,1220,740,82,32,4.5,280,1470,50,2,11,71,Burgers
BACON KingTM Sandwich,1200,730,81,32,1,215,2270,55,2,14,66,Burgers
RODEO KingTM Sandwich,1300,740,83,31,1,205,2260,77,4,18,63,Burgers
Single Quarter Pound King Sandwich,930,490,54,25,1,175,2100,56,3,13,57,Burgers
Double Quarter Pound King Sandwich,740,380,43,16,0.5,110,1440,53,2,13,37,Burgers
Single Stacker King,1130,660,73,31,1,210,2180,55,2,14,65,Burgers
Double Stacker King,630,290,32,10,0,15,1350,62,6,13,28,Burgers
IMPOSSIBLE WhopperSandwich,250,90,10,4,0,30,560,29,1,7,13,Burgers
Cheeseburger,290,120,13,6,0,40,780,30,1,7,15,Burgers
Double Hamburger,360,160,17,7,0,60,590,29,1,7,22,Burgers
Double Cheeseburger,400,190,21,9,0,70,810,30,1,7,24,Burgers
Extra Long Cheeseburger,640,340,37,13,0.5,90,1120,50,2,11,29,Burgers
Bacon Cheeseburger,340,150,16,7,0,45,940,30,1,7,18,Burgers
Bacon Double Cheeseburger,440,220,24,11,0,75,970,30,1,7,27,Burgers
Hamburger,250,90,10,4,0,30,560,29,1,7,13,Burgers
Classic Royal Crispy Chicken-Sandwich,600,280,31,5,0,80,1330,54,9,9,31,Chicken & More
Spicy Royal Crispy Chicken-Sandwich,760,420,47,8,0,80,1580,58,9,11,31,Chicken & More
Bacon & Swiss Royal Crispy Chicken Sandwich,740,390,43,11,0,110,1920,56,9,10,39,Chicken & More
Original Chicken-Sandwich,680,350,39,7,0,65,1380,63,3,7,23,Chicken & More
Chicken Jr.,440,240,27,5,0,40,700,39,2,5,13,Chicken & More
Spicy Chicken Jr.,380,170,19,3.5,0,30,680,42,2,6,12,Chicken & More
Chicken Nuggets- 4pc,190,110,12,2.5,0,30,490,12,0.5,0,9,Chicken & More
Chicken Nuggets- 6pc,290,170,19,3.5,0,40,730,18,1,0,13,Chicken & More
Chicken Nuggets- 10pc,480,280,31,6,0,70,1220,30,2,0,22,Chicken & More
Chicken Nuggets- 20pc,970,560,62,12,0,140,2440,60,5,0,45,Chicken & More
Chicken Fries- 9 pc.,260,120,13,3,0,35,780,20,1,0,15,Chicken & More
